id,question,user,position,answer
1,1,0,61.0,cole
2,1,1,67.0,cole
3,1,2,66.0,cole
4,1,3,78.0,cole
5,1,4,-78.0,church
6,1,5,66.0,cole
8,1,7,73.0,Cole
9,1,8,75.0,cole
10,4,9,68.0,rococco
11,5,10,75.0,the swing
12,5,11,75.0,the swing
13,5,1,75.0,the swing
15,6,13,75.0,el greco
16,6,14,72.0,El Greco
17,6,12,76.0,el greco
18,6,3,67.0,el greco
19,6,15,63.0,el greco
20,6,16,-54.0,freidrich
22,10924,18,60.0,weber
23,10924,19,90.0,weber
24,10924,20,100.0,weber
25,10924,14,89.0,Weber
26,11,9,33.0,garden of earthly delights
27,11,9,28.0,garden of earthly delights
29,19,22,61.0,poussin
30,19,4,64.0,poussin
31,35,23,80.0,hay wain
32,35,9,97.0,hay wain
33,35,20,97.0,hay wain
34,35,9,87.0,hay wain
36,35,9,82.0,hay wain
37,35,9,16.0,the hay wain
38,35,9,17.0,the hay wain
39,36,18,60.0,the swing
40,36,24,36.0,the swing
41,36,25,34.0,the swing
43,36,5,59.0,swing
44,36,27,75.0,the swing
45,36,9,44.0,the swing
46,42,28,82.0,tempest
47,42,29,82.0,The Tempest
48,42,3,-35.0,hay wain
50,44,3,46.0,chagall
51,46,30,77.0,Rubens
52,46,9,77.0,rubens
53,46,31,77.0,rubens
54,49,32,11.0,olympia
55,49,33,28.0,Olympia
57,49,26,53.0,olympia
58,49,34,70.0,olympia
59,49,35,-76.0,venus
60,49,36,12.0,olympia
61,49,37,76.0,olympia
62,49,1,76.0,olympia
64,49,38,76.0,Olympia
65,49,9,16.0,olympia
66,49,39,-76.0,Nude Descending a Staircase
67,49,40,76.0,olympia
68,49,41,16.0,olympia
69,49,42,45.0,olympia
71,5470,10,40.0,a hero of our time
72,5470,31,21.0,a hero of our time
73,61,24,143.0,courbet
74,61,29,148.0,Courbet
75,5473,28,17.0,middlemarch
76,5473,23,25.0,middlemarch
78,6549,44,129.0,a room with a view
79,6549,14,112.0,A Room with a View
80,6549,12,25.0,A Room with a view
81,6549,28,96.0, room with a view
82,6549,45,41.0,Room with a view
83,6549,13,-129.0,howard's end
85,6549,47,-129.0,howard's end
86,6549,35,129.0,a room with a view
87,6549,48,129.0,room with a view
88,6549,49,-126.0,The Light in the Piazza
89,6549,50,-129.0,G
90,79,18,77.0,cole
92,79,22,53.0,cole
93,79,52,9.0,cole
94,79,53,-12.0,poop
95,79,26,93.0,cole
96,79,9,19.0,cole
97,79,47,-93.0,Millet
99,81,19,78.0,delacroix
100,81,23,37.0,delacroix
101,81,54,61.0,delacroix
102,81,14,77.0,Delacroix
103,81,55,69.0,delacroix
104,81,16,40.0,delacroiz
106,81,32,15.0,delacroix
107,81,56,78.0,delacroix
108,81,25,28.0,Delacroix
109,81,57,78.0,Delacroix
110,81,58,-55.0,gauguin
111,81,59,71.0,de la croix
113,81,61,66.0,delacroix
114,81,62,62.0,delacroix
115,81,63,77.0,delacroix
116,81,7,56.0,Delacroix
117,81,41,39.0,delacroix
118,81,64,78.0,Delacroix
120,81,15,77.0,delacroix
121,81,27,-69.0,el greco
122,81,65,78.0,delacroix
123,81,66,78.0,delacroix
124,81,17,73.0,delocroix
125,81,67,68.0,delacroix
127,81,8,-69.0,brunelleschi
128,81,69,50.0,delacroix
129,81,31,69.0,delacroix
130,82,28,102.0,isenheim altarpiece
131,82,0,102.0,isenheim altarpiece
132,82,27,-77.0,grunewald alterpiece
134,83,14,-100.0,Matisse
135,83,20,99.0,rousseau
136,83,9,68.0,rousseau
137,83,12,-100.0,matisse
138,87,54,89.0,the swing
139,87,70,106.0,the swing
141,87,49,96.0,The Swing
142,87,9,31.0,The Swing
143,90,9,113.0,matisse
144,90,71,90.0,Matisse
145,90,29,113.0,Matisse
146,90,43,113.0,matisse
148,90,1,109.0,matisse
149,90,42,39.0,matisse
150,91,72,119.0,Renoir
151,91,9,25.0,renoir
152,91,5,119.0,renoir
153,91,49,119.0,Renoir
155,91,9,26.0,renoir
156,93,9,-117.0,romeo and juliet
157,93,24,117.0,the tempest
158,93,42,77.0,tempest
159,93,27,117.0,the tempest
160,94,9,77.0,the kiss
162,94,23,73.0,kiss
163,94,62,93.0,the kiss
164,94,60,90.0,kiss
165,94,64,67.0,the kiss
166,96,73,98.0,the kiss
167,96,42,92.0,the kiss
169,99,42,91.0,"venus, cupid, folly, and time"
170,102,9,88.0,tribute money
171,102,28,97.0,tribute money
172,114,74,-71.0, Ghent Altarpiece
173,114,14,83.0,The Garden of Earthly delights
174,114,30,-68.0,Ghent Altarpiece
176,114,75,118.0,garden of earthly delights
177,114,76,62.0,garden of earthly delights
178,114,77,-99.0,isenheim
179,114,41,71.0,garden of earthly delights
180,114,78,73.0,the garden of earthly delights
181,114,45,-118.0,Garden of Love
183,114,80,72.0,garden of earthly delights
184,114,81,118.0,Garden of Earthly Delights
185,114,82,101.0,The Garden of Earthly Delights
186,114,83,118.0,Garden of Earthly Delights
187,114,38,29.0,The Garden of Earthly Delights
188,114,42,74.0,garden of earthly delights
190,114,67,88.0,the garden of earthly delights
191,114,50,81.0,garden of earthly delights
192,114,85,118.0,garden of earthly delights
193,114,86,61.0,Garden of Earthly Delights
194,114,87,-46.0,las meninas
195,118,9,39.0,hals
197,119,9,18.0,sargent
198,119,71,88.0,Singer-Sargent
199,119,43,86.0,sargent
200,119,3,61.0,sargent
201,5482,43,-81.0,the garden party
202,128,23,39.0,hopper
204,128,88,61.0,hopper
205,128,42,42.0,hopper
206,128,27,39.0,hopper
207,128,33,55.0,Hopper
208,132,24,104.0,botticelli
209,132,30,111.0,Botticelli
211,132,71,108.0,Botticelli
212,132,30,111.0,Botticelli
213,132,62,111.0,botticelli
214,132,42,105.0,botticelli
215,132,10,108.0,botticelli
216,133,30,77.0,School of Athens
218,133,43,51.0,school of athens
219,135,18,30.0,potato eaters
220,135,44,99.0,potato eaters
221,135,19,95.0,the potato eaters
222,135,21,27.0,Potato Eaters
223,135,24,58.0,potato eaters
225,135,9,-18.0,time transfixed
226,135,59,-81.0,night hawks
227,135,89,98.0,the potato eaters
228,135,12,99.0,the potato eaters
229,135,63,99.0,the potato eaters
230,135,90,98.0,potato eaters
232,135,91,27.0,potato eaters
233,135,92,74.0,potato eaters
234,135,43,-76.0,Belshazzar's Feast
235,135,64,-99.0,turnip-eaters
236,135,81,99.0,Potato eaters
237,135,75,99.0,potato eaters
239,135,27,-46.0,vermeer
240,135,93,-33.0,night cafe
241,135,39,-78.0,Hilanderas
242,135,94,-47.0,Nighthawks
243,135,17,76.0,the potato eaters
244,135,95,90.0,the potato eaters
246,139,33,20.0,El Greco
247,139,58,-57.0,parmagianino
248,139,62,-56.0,tintoretto
249,139,37,92.0,el greco
250,139,96,83.0,el greco
251,139,97,97.0,el greco
253,139,27,-60.0,tintoretto
254,139,99,100.0,el greco
255,147,49,83.0,The Potato Eaters
256,147,71,53.0,Potato Eaters
257,147,72,108.0,Potato Eaters
258,147,25,28.0,Potato Eaters 
260,147,100,-86.0,at the moulin rouge
261,147,4,112.0,potato eaters
262,147,15,62.0,the potato eaters
263,147,9,-29.0,potato easters
264,147,101,19.0,the potato eaters
265,147,50,67.0,potato eaters
267,147,8,-112.0,cafe terrace at night
268,147,40,94.0,potato eaters
269,150,51,95.0,watson and the shark
270,150,54,-36.0,the arnolfini wedding
271,150,22,58.0,watson and the shark
272,150,14,74.0,Watson and the Shark
274,150,28,77.0,watson and  the shark
275,150,0,61.0,watson and the shark
276,150,29,95.0,Sharks
277,150,98,67.0,Watson and the shark
278,156,103,88.0,the garden of earthly delights
279,156,18,34.0,garden of earthly delightss
281,156,61,83.0,the garden of earthly delights
282,156,96,36.0,garden of earthly delights
283,156,71,39.0,The Garden of Earthly Delights
284,156,104,35.0,garden of earthly delights
285,156,57,70.0,Garden of earthly Delights
286,156,25,20.0,Garden of Earthly Delights
288,156,94,109.0,The Garden of Earthly Delights
289,156,11,-62.0,ghent alterpiece
290,156,63,-50.0,ghent altarpiece
291,156,90,45.0,garden of earthly delights
292,156,39,109.0,Garden of Earthly Delights
293,156,105,19.0,garden of earthly delights
295,156,64,109.0,The Garden of Earthly Delights
296,156,15,109.0,garden of earthly delights
297,156,107,26.0,The Garden of Earthly Delights
298,156,108,109.0,garden of earthly delights
299,156,109,23.0,The Garden of Earthly Delights
300,156,110,72.0,gardem of earthly delights
302,156,17,76.0,the garden of earthly delights
303,156,102,75.0,garden of earthly delights
304,159,30,32.0,Bacon
305,159,111,89.0,Bacon
306,159,9,-39.0,duchamp
307,162,19,-87.0,bauhaus
309,10950,18,-85.0,ricardo
310,10950,17,-85.0,Mill
311,167,13,99.0,cole
312,167,24,99.0,cole
313,167,25,55.0,Cole
314,167,29,-99.0,Copeland
316,168,24,28.0,raft of the medusa
317,168,71,74.0,The Raft of the Medusa
318,168,9,54.0,raft of the medusa
319,168,9,40.0,raft of the medusa
320,168,9,15.0,raft of the medusa
321,168,27,87.0,raft of the medusa
323,171,9,-15.0,rembrandt
324,171,9,10.0,donatello
325,171,113,87.0,Donatello
326,171,27,28.0,donatello
327,178,51,91.0,las meninas
328,178,30,73.0,Las Meninas
330,178,53,-102.0,reshyrt  
331,178,60,91.0,las meninas
332,178,64,93.0,las meninas
333,178,114,38.0,las meninas
334,178,47,80.0,las meninas
335,178,27,41.0,las meninas
337,182,44,-58.0,El Greco
338,182,103,66.0,delacroix
339,182,115,55.0,delacroix
340,182,49,59.0,Delacroix
341,182,20,55.0,delacroix
342,182,33,52.0,delacroix
344,182,0,54.0,delacroix
345,182,25,54.0,Delacroix
346,182,117,61.0,delacroix
347,182,11,56.0,delacroix
348,182,90,66.0,delacroix
349,182,118,52.0,delacroix
351,182,29,56.0,Delacroix
352,182,106,-66.0,i forget
353,182,100,51.0,delacroix
354,182,100,50.0,delacroix
355,182,3,-34.0,Duchamp
356,182,43,56.0,delacroix
358,182,119,61.0,delacroix
359,182,81,66.0,Delecroix
360,182,5,64.0,Delacroix
361,182,47,53.0,delacroix
362,182,9,54.0,delacroix
363,182,5,56.0,delacroix
365,182,120,66.0,delacroix
366,182,31,66.0,delacroix
367,182,121,64.0,dellacroix
368,182,8,58.0,delacroix
369,182,95,66.0,delacroix
370,185,14,59.0,Chrstina's World
372,185,89,-89.0,christina
373,185,30,63.0,Christina's World
374,185,47,83.0,christina's world
375,185,50,89.0,Christina's world
376,185,51,89.0,christina's world
377,186,0,-52.0,pontormo
379,186,9,48.0,poussin
380,186,9,25.0,poussin
381,187,52,82.0,klimpt
382,187,89,82.0,klimt
383,187,29,-82.0,Rodin
384,187,9,82.0,klimpt
386,187,4,82.0,klimt
387,187,49,82.0,Klimt
388,187,122,82.0,klimt
389,187,75,82.0,klimt
390,187,123,-82.0,brancuzi
391,187,6,42.0,klimt
393,187,115,82.0,klimt
394,191,54,77.0,death of socrates
395,191,52,21.0,death of socrates
396,191,20,-43.0,calling of saint matthew
397,191,28,37.0,death of socrates
398,191,51,121.0,death of socrates
400,191,20,71.0,death of socrates
401,196,52,32.0,velazquez
402,196,73,100.0,Velasquez
403,196,98,91.0,velasquez
404,196,9,56.0,velazquez
405,196,3,87.0,velasquez
407,204,62,99.0,death of socrates
408,204,43,-99.0,death of sophocles
409,204,3,-29.0,death of general wolfe
410,204,42,75.0,death of socrates
411,204,9,99.0,death of sorates
412,204,115,98.0,death of socrates
414,204,124,99.0,death of socrates
415,5496,30,18.0,Great Expectations
416,5496,28,13.0,great expectations
417,5496,62,-48.0,david copperfield
418,5496,14,15.0,Great Expectation
419,5496,64,82.0,great expectations
421,5497,51,-96.0,imaginary invalid
422,5497,21,-96.0,imaginary invalid
423,5497,125,-58.0,tartuffe
424,5497,16,96.0,the misanthrope
425,5497,24,-44.0,tartuffe
426,5497,72,96.0,misanthrope
428,5497,94,-96.0,Tartuff
429,5497,78,-26.0,tartuffe
430,5497,46,45.0,the misanthrope
431,5497,120,96.0,the misanthrope
432,5497,121,-96.0,i have no friggin clue
433,5497,127,-96.0,tartuffe
435,5497,128,-96.0,j'accuse
436,5497,71,96.0,The Misanthrope
437,217,9,78.0,tribute money
438,218,9,92.0,ghent altarpiece
439,219,20,99.0,las meninas
440,219,0,100.0,las meninas
442,219,3,104.0,las meninans
443,219,9,63.0,las meninas
444,219,122,70.0,las menias
445,219,35,100.0,las meninas
446,222,9,10.0,the ambassadors
447,223,98,98.0,Gericault
449,224,73,83.0,view of delf
450,224,24,78.0,view of delft
451,224,9,83.0,view of delft
452,224,9,58.0,view of delft
453,224,42,83.0,view of delft
454,224,98,70.0,view of delft
456,233,73,-105.0,Trumbull
457,233,60,112.0,copley
458,233,9,88.0,copley
459,233,10,-90.0,west
460,233,33,-50.0,Stuart
461,236,18,88.0,munch
463,236,73,-48.0,rembrandt
464,236,3,-63.0,courbet
465,236,1,-97.0,matisse
466,236,47,124.0,munch
467,236,27,-44.0,van gogh
468,236,62,124.0,munch
470,237,18,52.0,las meninas
471,237,22,46.0,las meninas
472,237,23,-29.0,laughing cavalier
473,237,9,14.0,las meninas
474,237,9,20.0,las meninas
475,241,98,121.0,poussin
477,244,18,113.0,olympia
478,244,72,-113.0,madame x
479,244,52,61.0,olympia
480,244,29,108.0,Olympia
481,244,129,113.0,olympia
482,244,119,90.0,olympia
484,244,9,65.0,olympia
485,246,9,83.0,chagall
486,246,30,92.0,Chagall
487,256,54,45.0,the hay wain
488,256,19,86.0,the hay wain
489,256,73,102.0,The Hay Wain
491,256,71,98.0,The Hay Wain
492,256,60,102.0,hay wain
493,256,47,-52.0,the garden of earthly delights
494,256,3,100.0,hay wain
495,256,42,90.0,hay wain
496,256,17,-52.0,the garden of earthly delights
498,257,60,63.0,watson and the shark
499,257,11,72.0,sharks
500,257,1,107.0,watson and the shark
501,257,42,65.0,watson and the shark
502,264,28,21.0,raft of the medusa
503,264,98,113.0,the raft of the medusa
505,265,70,87.0,las meninas
