id,question,user,position,answer,,AvgUserPos,AvgQuestPos,RoundPos
1,1,0,61,cole,,80.0,71.0,60.0
2,1,1,67,cole,,97.0,71.0,70.0
3,1,2,66,cole,,99.0,71.0,70.0
4,1,3,78,cole,,85.0,71.0,80.0
5,1,4,-78,church,,103.0,71.0,-80.0
6,1,5,66,cole,,100.0,71.0,70.0
8,1,7,73,Cole,,97.0,71.0,70.0
9,1,8,75,cole,,93.0,71.0,80.0
10,4,9,68,rococco,,83.0,68.0,70.0
11,5,10,75,the swing,,81.0,75.0,80.0
12,5,11,75,the swing,,89.0,75.0,80.0
13,5,1,75,the swing,,97.0,75.0,80.0
15,6,13,75,el greco,,86.0,68.0,80.0
16,6,14,72,El Greco,,84.0,68.0,70.0
17,6,12,76,el greco,,85.0,68.0,80.0
18,6,3,67,el greco,,85.0,68.0,70.0
19,6,15,63,el greco,,94.0,68.0,60.0
20,6,16,-54,freidrich,,77.0,68.0,-50.0
22,10924,18,60,weber,,91.0,85.0,60.0
23,10924,19,90,weber,,104.0,85.0,90.0
24,10924,20,100,weber,,95.0,85.0,100.0
25,10924,14,89,Weber,,84.0,85.0,90.0
26,11,9,33,garden of earthly delights,,83.0,31.0,30.0
27,11,9,28,garden of earthly delights,,83.0,31.0,30.0
29,19,22,61,poussin,,66.0,63.0,60.0
30,19,4,64,poussin,,103.0,63.0,60.0
31,35,23,80,hay wain,,58.0,68.0,80.0
32,35,9,97,hay wain,,83.0,68.0,100.0
33,35,20,97,hay wain,,95.0,68.0,100.0
34,35,9,87,hay wain,,83.0,68.0,90.0
36,35,9,82,hay wain,,83.0,68.0,80.0
37,35,9,16,the hay wain,,83.0,68.0,20.0
38,35,9,17,the hay wain,,83.0,68.0,20.0
39,36,18,60,the swing,,91.0,51.0,60.0
40,36,24,36,the swing,,85.0,51.0,40.0
41,36,25,34,the swing,,67.0,51.0,30.0
43,36,5,59,swing,,100.0,51.0,60.0
44,36,27,75,the swing,,100.0,51.0,80.0
45,36,9,44,the swing,,83.0,51.0,40.0
46,42,28,82,tempest,,80.0,66.0,80.0
47,42,29,82,The Tempest,,105.0,66.0,80.0
