id,question,user,position,answer,,AvgUserPos,AvgQuestPos,RoundPos,QuestAnswered,UserPercent,QuestPercent
1,1,0,61,cole,,56.0,51.0,60.0,312,0.8301282051282052,0.875
2,1,1,67,cole,,31.0,51.0,70.0,498,0.6465863453815262,0.875
3,1,2,66,cole,,37.0,51.0,70.0,54,0.6666666666666666,0.875
4,1,3,78,cole,,50.0,51.0,80.0,802,0.7830423940149626,0.875
5,1,4,-78,church,,73.0,51.0,-80.0,175,0.8685714285714285,0.875
6,1,5,66,cole,,39.0,51.0,70.0,138,0.7246376811594203,0.875
8,1,7,73,Cole,,27.0,51.0,70.0,88,0.6363636363636364,0.875
9,1,8,75,cole,,9.0,51.0,80.0,42,0.5476190476190477,0.875
10,4,9,68,rococco,,40.0,68.0,70.0,1128,0.7668439716312057,1.0
11,5,10,75,the swing,,49.0,75.0,80.0,442,0.8076923076923077,1.0
12,5,11,75,the swing,,54.0,75.0,80.0,161,0.8012422360248447,1.0
13,5,1,75,the swing,,31.0,75.0,80.0,498,0.6465863453815262,1.0
15,6,13,75,el greco,,31.0,50.0,80.0,168,0.6666666666666666,0.8333333333333334
16,6,14,72,El Greco,,39.0,50.0,70.0,580,0.7310344827586207,0.8333333333333334
17,6,12,76,el greco,,31.0,50.0,80.0,153,0.6862745098039216,0.8333333333333334
18,6,3,67,el greco,,50.0,50.0,70.0,802,0.7830423940149626,0.8333333333333334
19,6,15,63,el greco,,46.0,50.0,60.0,76,0.75,0.8333333333333334
20,6,16,-54,freidrich,,38.0,50.0,-50.0,99,0.7373737373737373,0.8333333333333334
22,10924,18,60,weber,,49.0,85.0,60.0,678,0.7817109144542773,1.0
23,10924,19,90,weber,,36.0,85.0,90.0,470,0.6829787234042554,1.0
24,10924,20,100,weber,,56.0,85.0,100.0,707,0.7906647807637907,1.0
25,10924,14,89,Weber,,39.0,85.0,90.0,580,0.7310344827586207,1.0
26,11,9,33,garden of earthly delights,,40.0,31.0,30.0,1128,0.7668439716312057,1.0
27,11,9,28,garden of earthly delights,,40.0,31.0,30.0,1128,0.7668439716312057,1.0
29,19,22,61,poussin,,52.0,63.0,60.0,281,0.896797153024911,1.0
30,19,4,64,poussin,,73.0,63.0,60.0,175,0.8685714285714285,1.0
31,35,23,80,hay wain,,28.0,68.0,80.0,533,0.7129455909943715,1.0
32,35,9,97,hay wain,,40.0,68.0,100.0,1128,0.7668439716312057,1.0
33,35,20,97,hay wain,,56.0,68.0,100.0,707,0.7906647807637907,1.0
34,35,9,87,hay wain,,40.0,68.0,90.0,1128,0.7668439716312057,1.0
36,35,9,82,hay wain,,40.0,68.0,80.0,1128,0.7668439716312057,1.0
37,35,9,16,the hay wain,,40.0,68.0,20.0,1128,0.7668439716312057,1.0
38,35,9,17,the hay wain,,40.0,68.0,20.0,1128,0.7668439716312057,1.0
39,36,18,60,the swing,,49.0,51.0,60.0,678,0.7817109144542773,1.0
40,36,24,36,the swing,,50.0,51.0,40.0,404,0.7970297029702971,1.0
41,36,25,34,the swing,,23.0,51.0,30.0,57,0.7368421052631579,1.0
43,36,5,59,swing,,39.0,51.0,60.0,138,0.7246376811594203,1.0
44,36,27,75,the swing,,35.0,51.0,80.0,370,0.6648648648648648,1.0
45,36,9,44,the swing,,40.0,51.0,40.0,1128,0.7668439716312057,1.0
46,42,28,82,tempest,,47.0,43.0,80.0,720,0.7777777777777778,0.6666666666666666
47,42,29,82,The Tempest,,-2.0,43.0,80.0,194,0.4845360824742268,0.6666666666666666
48,42,3,-35,hay wain,,50.0,43.0,-40.0,802,0.7830423940149626,0.6666666666666666
50,44,3,46,chagall,,50.0,46.0,50.0,802,0.7830423940149626,1.0
51,46,30,77,Rubens,,43.0,77.0,80.0,940,0.7680851063829788,1.0
52,46,9,77,rubens,,40.0,77.0,80.0,1128,0.7668439716312057,1.0
53,46,31,77,rubens,,34.0,77.0,80.0,356,0.6657303370786517,1.0
54,49,32,11,olympia,,22.0,29.0,10.0,35,0.8857142857142857,0.8571428571428571
55,49,33,28,Olympia,,52.0,29.0,30.0,592,0.847972972972973,0.8571428571428571
57,49,26,53,olympia,,56.0,29.0,50.0,141,0.7588652482269503,0.8571428571428571
58,49,34,70,olympia,,26.0,29.0,70.0,61,0.639344262295082,0.8571428571428571
59,49,35,-76,venus,,5.0,29.0,-80.0,144,0.5277777777777778,0.8571428571428571
60,49,36,12,olympia,,22.0,29.0,10.0,36,1.0,0.8571428571428571
61,49,37,76,olympia,,55.0,29.0,80.0,98,0.7551020408163265,0.8571428571428571
62,49,1,76,olympia,,31.0,29.0,80.0,498,0.6465863453815262,0.8571428571428571
64,49,38,76,Olympia,,-18.0,29.0,80.0,39,0.4358974358974359,0.8571428571428571
65,49,9,16,olympia,,40.0,29.0,20.0,1128,0.7668439716312057,0.8571428571428571
66,49,39,-76,Nude Descending a Staircase,,25.0,29.0,-80.0,85,0.6235294117647059,0.8571428571428571
67,49,40,76,olympia,,49.0,29.0,80.0,149,0.87248322147651,0.8571428571428571
68,49,41,16,olympia,,61.0,29.0,20.0,91,0.8461538461538461,0.8571428571428571
69,49,42,45,olympia,,51.0,29.0,50.0,661,0.800302571860817,0.8571428571428571
71,5470,10,40,a hero of our time,,49.0,31.0,40.0,442,0.8076923076923077,1.0
72,5470,31,21,a hero of our time,,34.0,31.0,20.0,356,0.6657303370786517,1.0
73,61,24,143,courbet,,50.0,146.0,140.0,404,0.7970297029702971,1.0
74,61,29,148,Courbet,,-2.0,146.0,150.0,194,0.4845360824742268,1.0
75,5473,28,17,middlemarch,,47.0,21.0,20.0,720,0.7777777777777778,1.0
76,5473,23,25,middlemarch,,28.0,21.0,30.0,533,0.7129455909943715,1.0
78,6549,44,129,a room with a view,,71.0,13.0,130.0,127,0.84251968503937,0.6363636363636364
79,6549,14,112,A Room with a View,,39.0,13.0,110.0,580,0.7310344827586207,0.6363636363636364
80,6549,12,25,A Room with a view,,31.0,13.0,30.0,153,0.6862745098039216,0.6363636363636364
81,6549,28,96, room with a view,,47.0,13.0,100.0,720,0.7777777777777778,0.6363636363636364
82,6549,45,41,Room with a view,,56.0,13.0,40.0,160,0.85,0.6363636363636364
83,6549,13,-129,howard's end,,31.0,13.0,-130.0,168,0.6666666666666666,0.6363636363636364
85,6549,47,-129,howard's end,,59.0,13.0,-130.0,428,0.7897196261682243,0.6363636363636364
