question,WikiLength
1,7329
4,21659
5,28000
6,36324
10924,66134
11,48055
19,15987
109230,24920
35,65990
36,28000
42,12495
44,77512
46,22073
49,28000
5470,18667
10932,18165
61,28544
5473,26487
6549,15143
79,7329
81,18176
82,8764
83,10631
87,28000
90,21472
91,0
93,12495
94,36294
96,36294
99,43819
102,28000
114,48055
118,22496
119,36849
5482,3993
128,40891
132,11058
133,11758
135,5749
139,36324
143,51582
147,5749
150,4225
156,48055
159,35782
162,14285
109254,9641
167,7329
168,35497
171,11855
178,43249
181,21659
182,18176
185,0
186,15987
187,21161
190,35497
191,16178
192,65990
196,651
204,16178
5496,50919
5497,4450
217,28000
218,51582
219,43249
222,17358
223,6148
224,907
233,33497
235,10704
236,34153
237,43249
241,15987
10963,12665
244,28000
246,77512
255,9033
256,65990
257,4225
261,21659
103809,28000
264,35497
265,43249
270,29763
271,0
272,22653
273,0
278,10631
280,58622
285,28000
286,2921
289,10090
293,17459
296,28000
300,13854
307,38311
308,11712
321,36294
322,9033
329,14708
333,28000
334,16761
342,35782
348,47399
349,16761
350,0
351,43249
359,2921
362,21472
367,4225
374,34153
376,0
377,37775
385,10090
386,36294
393,48055
395,40891
396,38311
397,0
400,2921
401,0
403,28000
409,34153
10991,22538
5530,20997
425,33497
427,43819
10995,12665
437,15126
438,16153
10996,62203
446,36849
5536,50919
453,17459
454,10705
457,16178
463,36324
470,20205
471,34153
476,15987
11002,19258
483,21161
484,43819
487,14708
492,10126
493,10631
498,51582
500,35251
501,16153
510,28544
515,22653
5548,40564
527,51582
105857,18246
533,21472
536,11758
541,9033
548,82821
549,34153
550,0
552,35251
559,0
564,10126
566,77512
570,651
572,6148
573,14708
577,22653
580,22073
581,7329
582,10718
583,29763
584,11712
585,4225
590,51364
595,19213
598,33742
610,18526
612,19127
615,46265
618,28445
619,57895
624,18999
109331,32014
631,28690
642,33742
643,3098
645,28690
648,35703
651,71018
659,34237
672,27409
673,24773
674,24664
677,57895
678,39455
681,6983
682,14843
684,24773
686,56623
687,18526
688,6983
691,32314
693,32700
103881,24915
698,16234
705,43056
713,6983
721,35703
722,14015
5582,10430
727,28000
729,14015
731,14368
734,17545
735,32566
5584,11569
11046,22538
744,48024
746,43056
747,58865
748,27360
749,28568
755,3098
759,18526
767,48024
770,35703
775,3098
776,43651
783,28690
791,41472
794,35703
798,26697
803,20989
804,48432
809,43056
810,24773
815,55454
816,29134
819,33742
827,19127
838,51364
840,72969
845,22464
846,14843
847,24664
850,14015
852,18999
853,6983
857,51548
858,71018
864,22059
865,14368
866,11575
870,51548
878,22464
879,51364
5485,28000
889,39455
900,33742
901,20432
902,39455
903,35703
905,55454
910,29134
911,27360
912,18526
914,71018
918,27409
11076,21586
922,48024
932,48432
934,29134
939,6983
943,28568
947,17545
948,34237
949,32314
11081,15410
960,48024
103928,5444
982,14843
985,51548
991,67087
992,24773
995,17545
996,22464
997,22059
999,18999
1000,54838
1001,32314
1005,26697
1014,48024
1015,18526
1017,19127
1021,43651
1023,14015
1030,39455
1031,35703
1034,28568
1039,48024
1044,26390
1046,46265
1051,19127
1052,3098
1056,16234
1062,29134
1063,57895
1064,48432
1065,35174
1066,83505
105875,6150
1071,22464
1073,18999
1074,14015
1079,33742
1080,18526
1082,33742
1085,56623
1089,14843
5643,41435
1116,19213
1121,22059
5649,27705
1130,32566
1131,22464
1133,14015
1138,27360
1140,39455
1141,18999
1143,35907
1145,0
5653,23677
1152,18526
1155,35703
1159,54668
1160,18461
1161,28690
1162,20989
1163,33742
1164,26697
1178,20989
1193,48432
1194,41472
1195,17545
1198,51048
1219,51548
1222,59088
1224,43056
1229,62070
1231,35703
1232,39455
1238,45974
1239,20989
1240,32700
1242,14843
1243,48432
1245,51048
5669,20847
1250,28445
1257,14368
1258,11575
1260,0
1263,14015
1267,28445
1268,32700
1271,51548
1272,18246
1279,0
1280,44577
1288,10843
1294,13854
1311,11263
1319,11855
1322,47284
1324,8764
1328,10821
1343,19026
1348,10718
1350,8764
1357,20989
1361,13854
1375,19026
1379,10843
1382,8764
11154,30584
1392,10821
1395,50579
1400,10126
1402,13854
1406,36407
1407,13854
1413,11263
1414,11855
1416,47399
1417,34481
1428,5715
1432,34481
1433,11263
1436,11855
1439,47284
1444,10718
1455,10821
1462,70769
1463,18295
1481,33181
1482,28000
1492,76755
1493,18939
1504,17300
1515,28000
1516,51049
13144,34407
1521,20577
1522,34991
1526,39781
1532,11676
5718,19859
104023,51049
1565,4438
1574,43220
1575,17546
1579,28003
1586,28000
1598,94481
1614,28000
11192,51698
1620,8344
1621,69600
1626,12686
1640,6892
1652,36294
1654,28003
1655,45861
1670,20278
1673,28000
1674,43220
1677,20577
1683,69600
1688,45861
1693,51049
6603,11304
100003,12763
1719,17546
1722,49240
1735,34991
1736,4438
1739,75403
1741,54786
1747,39781
1748,45861
1760,36294
1762,58335
1764,8344
1771,17300
100083,28000
1786,39781
1787,16875
1788,9671
1802,94481
1803,17546
1813,28000
1817,20577
1821,33181
1823,51049
1824,8344
1833,9671
1834,28000
1838,28000
1842,34991
1850,49240
1860,17300
109537,10428
1866,50737
1911,58335
1913,28000
1915,28000
1933,15880
100241,94481
100252,49414
1951,53733
100256,40891
100259,23757
1982,28000
1984,75403
1985,34991
1988,9671
2000,6892
2001,4438
2023,28000
2033,34991
2041,28000
2043,49240
2056,13536
5524,15143
2067,74148
2070,16875
2071,15880
2073,20824
2077,17300
2079,43792
2084,28000
2089,28000
2090,21851
2106,74148
2110,69600
100422,28000
2119,45861
2139,33181
2147,34991
2158,36294
5822,25729
100479,28000
2187,20278
2192,53733
2193,21851
2206,33181
2212,52138
2225,49240
2229,28000
2230,50737
2235,6892
2249,4438
2260,33181
2274,52138
2277,9671
2285,18939
2289,34991
2298,39781
2324,75403
2340,36294
2349,20278
2350,47477
2355,39781
2356,51049
2359,49240
5856,40726
100681,16775
100686,13976
100687,28000
100691,9626
100694,12021
100696,44453
100697,0
100698,17357
2395,45770
2398,26860
100704,33491
100706,58335
100708,14014
100711,6148
100712,15701
100714,9343
2413,26860
100723,15534
2420,6593
2422,49149
100729,15339
100731,11413
100735,42856
2432,35365
100741,52943
2440,6593
100745,39513
2442,28000
100749,21345
100753,28000
100756,12111
100758,19223
2455,26860
2456,49149
100762,18860
100763,7942
100765,50712
100769,15143
2476,26860
100787,11625
2487,6593
100792,22566
2489,1991
2493,26285
100798,34481
100800,69328
2497,30657
2499,6593
2501,45770
100808,19258
100813,10151
2515,10062
2523,1991
100829,51527
2528,45770
100833,31939
2532,13079
100837,29939
100847,45916
100848,0
2546,10208
100862,18667
2564,10208
100869,14350
100874,33891
2572,28000
100878,70769
100880,40564
100881,49149
100884,28000
100885,28857
100886,20997
100888,26697
2587,35365
100892,28000
100894,36181
2591,1282
11355,70472
100901,39455
100904,18098
104199,22617
2608,10062
100923,12262
100924,33481
100925,22719
2622,30584
100927,24226
100928,14684
2629,28000
100937,7635
100940,21161
100941,41165
2638,28000
2639,81010
2641,10208
100946,42458
2644,26231
2645,30584
100954,39229
5903,28000
2652,30657
100957,69468
2656,1991
2665,6276
100970,17912
100971,22538
100972,21851
100988,33766
100990,12384
2689,28000
2692,6593
101002,1119
101004,24904
101007,5469
101008,26180
101011,43662
101014,7336
101019,30413
2717,28000
101022,7131
101023,50737
2725,6593
2727,28000
101032,28000
101033,4851
101038,33101
101039,19236
101040,16990
101042,13079
101044,10705
101046,26075
101047,28000
101048,4851
101049,28000
2746,118099
2750,119270
2753,30719
2755,43700
2756,28000
101063,1288
2765,28000
2770,0
2771,69468
2772,28000
101077,17718
2774,43700
2775,69468
2782,15163
2784,28000
5926,64109
101094,71546
101096,9529
101098,18645
2795,25080
101101,46822
101102,34819
101106,5017
2808,29939
101116,22464
101125,28284
101128,15126
2834,32392
2845,69468
101151,17358
2848,52143
101155,28000
2854,24029
5937,20794
101162,29787
2861,28000
2862,24160
2876,28000
101191,33491
2890,0
2891,76226
2892,30719
2896,36295
101202,5530
101204,61478
2901,13357
2905,28000
2906,33575
2907,12767
2908,28000
101214,18532
2916,7384
101222,25438
2919,27859
2920,11989
2922,28000
101232,51063
101234,26180
2937,28000
101247,1922
101250,17792
101251,51104
2951,58622
2954,12073
5954,25729
2959,52143
2968,0
2974,19236
2978,69468
2982,52143
2984,12767
2989,28000
101297,19647
101306,33575
101309,20997
101311,31782
3009,28000
101314,12574
101321,16409
3019,29627
3029,325
3034,76160
3047,36921
3050,28000
101356,60137
3053,28000
3055,12767
3060,52143
101365,10062
101369,3693
101371,10222
101375,56197
101376,30123
3082,30604
3085,48780
3087,11989
3089,119270
3093,36921
101398,50579
3102,11989
3103,10490
3104,33575
3107,69468
101420,67809
3118,3227
3123,28000
3127,28000
101433,15701
3131,93745
3138,13357
101452,12539
101454,28000
101456,1232
3156,28000
3159,28000
3161,33575
101467,12730
3167,45457
101476,15770
101482,6080
3182,76160
101490,15784
101501,77775
101502,8150
101515,4450
101519,28000
101520,19776
3217,12767
3218,93745
3221,30719
3222,80539
3235,27859
3236,36295
101541,19545
101543,22719
3240,3843
101547,58008
101551,18226
101556,10360
3253,33575
3254,36034
101559,19859
101569,2492
3266,24160
101571,9981
111404,14403
101576,9626
101577,28000
101578,10784
3278,69468
101588,4888
101589,28000
3289,79515
101594,14000
101598,26627
101605,8040
3302,48780
101612,41217
101613,47472
3311,33575
3313,119270
3315,3227
3318,923
101629,7094
101636,54484
101641,21297
101642,13467
101644,75995
101645,53383
3345,36295
3347,28000
3349,30719
3356,69468
101663,11877
3371,43452
3379,36012
3392,923
3396,11989
101703,26868
3400,79515
3408,54114
3410,27859
3412,52143
3417,82821
3418,76160
3419,13357
3420,30719
3424,3227
3434,52143
3435,13357
3436,69468
3443,15163
3445,9134
3446,24160
3450,62954
101757,7907
3461,28000
3463,30719
3475,30604
3476,81010
3484,118099
3487,47284
3491,28000
3494,69541
3495,28000
3501,10490
3502,28000
3503,0
101808,8294
3506,48780
11507,15410
3508,28000
3514,72054
3516,24029
3518,76160
101826,54668
3523,25736
3527,119270
3529,19236
3535,28000
3539,32392
101848,60692
101849,20824
3549,75995
3550,36012
3551,65965
101856,11036
3553,28000
101862,28852
3565,3843
101886,19236
101887,6535
3596,28000
3598,43452
101905,0
3602,65965
3603,77775
3605,3227
3608,26515
3612,119270
3617,85235
101922,21297
3622,80539
101929,42476
101930,17703
3627,30719
3630,32215
3638,10490
3639,76226
101945,9316
3644,36295
3647,119270
3648,28000
6070,13467
3660,28000
101966,8764
11533,76030
3676,10240
3677,30604
3678,28000
3681,28000
3688,76160
3690,28000
11538,20158
101999,22862
3697,74200
102003,50712
102004,28000
3701,39513
102007,5144
3705,31552
102014,70472
3712,51024
3727,12763
3728,13229
102033,7062
102034,5069
3731,73648
102040,5718
102043,17138
3740,45457
109850,12334
102046,28003
102047,10492
11547,35042
3750,51024
102056,2818
102062,10263
102067,28000
102070,6057
3767,36181
102072,6181
102073,14285
102075,15573
102077,43700
3775,24029
102082,28000
3780,74200
102085,15163
102088,7870
3785,45457
3791,36181
3792,12763
3798,14587
11556,13425
102113,7411
102116,28284
3814,43452
102121,25594
3818,74200
3820,66563
3826,67502
3832,22163
102138,8303
3835,17792
3840,22163
3844,9812
102155,44840
3852,12767
102157,75995
102159,27345
3858,39513
102165,28000
104409,0
3870,77775
102177,32850
102179,14833
3879,30584
102184,54114
3884,14587
11570,11664
3896,21810
109876,47472
3898,9893
3909,73648
102216,51660
3914,39513
11578,28000
102246,18645
102248,28544
3949,22163
102272,71018
109888,17138
102277,20205
102278,64887
102282,5792
3982,50712
102292,11634
102293,1187
3993,13536
3997,36295
102303,18532
102305,6168
4011,28000
4012,13673
4019,17792
4024,1288
4034,39430
102353,11989
102354,20205
4051,22163
4061,1288
4062,70472
102368,75403
4068,39226
4073,39513
4076,23003
4079,101144
102385,10821
4082,56430
4083,21810
4087,36181
4090,70472
4091,22163
4092,1288
4095,17792
4107,20646
11608,67430
4119,39513
102424,4225
4122,43452
4125,73648
4127,9893
4128,39430
102434,8249
102435,33339
102440,38646
102442,48024
4140,1288
102446,18939
102447,15767
102452,67087
102453,38463
102462,28000
102464,18555
102465,53383
4163,7384
102468,23313
4165,51527
102470,57680
4168,39430
102474,12565
102475,39455
102477,26335
4177,47472
102483,30603
102484,35497
102486,26487
4185,36181
102493,28000
102499,54838
102502,77775
102503,0
102507,40564
102509,28000
4207,28000
4208,12763
4209,29939
102518,28857
102520,9578
102524,58335
102525,22073
4222,45457
102527,10725
102530,9626
102531,67430
4228,70138
102536,26170
102538,26868
102540,43792
102542,52943
11629,5792
102545,12329
4242,14587
4245,66563
4248,36034
102560,11758
102563,24568
102567,51527
102568,30261
4269,47472
102574,70769
102576,11543
102579,39134
102580,32029
102581,18375
11636,30413
102586,10997
102587,41015
102588,16456
102589,38111
102595,51049
4294,17792
4296,51660
102604,1991
4301,36181
11640,30413
4308,39513
102613,76030
102615,7542
4312,1288
102618,46501
102622,9850
102623,36324
102628,30243
102629,36294
4330,101144
102636,21326
102637,20278
102644,18526
102647,20544
102649,22538
102651,20896
102654,9300
4351,20646
102660,33766
4358,24029
102664,0
102669,18506
102670,20732
102679,17357
102682,28000
102683,15339
4383,45457
4387,30584
102692,8110
4390,73440
102698,17777
102699,49439
4399,12073
4400,67502
102705,55494
4402,22163
4404,57855
4405,52319
4406,39430
102711,15630
4408,101144
4418,30584
109964,6185
102732,76226
102734,67430
102736,19213
